#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,750,Power,Fan,1
,,0,2024-01-01T10:00:00Z,1240,Power,Fan,2
,,0,2024-01-01T10:00:00Z,1500,Power,Fan,3
,,0,2024-01-01T10:00:00Z,2030,Power,Fan,4
,,0,2024-01-01T10:00:00Z,2550,Power,Fan,5
,,0,2024-02-01T10:00:00Z,800,Power,Fan,1
,,0,2024-02-01T10:00:00Z,1175,Power,Fan,2
,,0,2024-02-01T10:00:00Z,1430,Power,Fan,3
,,0,2024-02-01T10:00:00Z,2140,Power,Fan,4
,,0,2024-02-01T10:00:00Z,2960,Power,Fan,5
,,0,2024-03-01T10:00:00Z,650,Power,Fan,1
,,0,2024-03-01T10:00:00Z,1280,Power,Fan,2
,,0,2024-03-01T10:00:00Z,1590,Power,Fan,3
,,0,2024-03-01T10:00:00Z,2310,Power,Fan,4
,,0,2024-03-01T10:00:00Z,2700,Power,Fan,5
,,0,2024-04-01T10:00:00Z,550,Power,Fan,1
,,0,2024-04-01T10:00:00Z,1375,Power,Fan,2
,,0,2024-04-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-04-01T10:00:00Z,2080,Power,Fan,4
,,0,2024-04-01T10:00:00Z,2660,Power,Fan,5
,,0,2024-05-01T10:00:00Z,480,Power,Fan,1
,,0,2024-05-01T10:00:00Z,1290,Power,Fan,2
,,0,2024-05-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-05-01T10:00:00Z,2120,Power,Fan,4
,,0,2024-05-01T10:00:00Z,2850,Power,Fan,5
,,0,2024-06-01T10:00:00Z,700,Power,Fan,1
,,0,2024-06-01T10:00:00Z,1125,Power,Fan,2
,,0,2024-06-01T10:00:00Z,1320,Power,Fan,3
,,0,2024-06-01T10:00:00Z,1920,Power,Fan,4
,,0,2024-06-01T10:00:00Z,2500,Power,Fan,5
,,0,2024-07-01T10:00:00Z,480,Power,Fan,1
,,0,2024-07-01T10:00:00Z,1330,Power,Fan,2
,,0,2024-07-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-07-01T10:00:00Z,2160,Power,Fan,4
,,0,2024-07-01T10:00:00Z,2940,Power,Fan,5
,,0,2024-08-01T10:00:00Z,530,Power,Fan,1
,,0,2024-08-01T10:00:00Z,1210,Power,Fan,2
,,0,2024-08-01T10:00:00Z,1390,Power,Fan,3
,,0,2024-08-01T10:00:00Z,1490,Power,Fan,4
,,0,2024-08-01T10:00:00Z,2250,Power,Fan,5
,,0,2024-09-01T10:00:00Z,600,Power,Fan,1
,,0,2024-09-01T10:00:00Z,1360,Power,Fan,2
,,0,2024-09-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-09-01T10:00:00Z,2240,Power,Fan,4
,,0,2024-09-01T10:00:00Z,2780,Power,Fan,5
,,0,2024-10-01T10:00:00Z,740,Power,Fan,1
,,0,2024-10-01T10:00:00Z,1540,Power,Fan,2
,,0,2024-10-01T10:00:00Z,1760,Power,Fan,3
,,0,2024-10-01T10:00:00Z,2080,Power,Fan,4
,,0,2024-10-01T10:00:00Z,2340,Power,Fan,5
,,0,2024-11-01T10:00:00Z,800,Power,Fan,1
,,0,2024-11-01T10:00:00Z,1670,Power,Fan,2
,,0,2024-11-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-11-01T10:00:00Z,2200,Power,Fan,4
,,0,2024-11-01T10:00:00Z,2880,Power,Fan,5
,,0,2024-12-01T10:00:00Z,950,Power,Fan,1
,,0,2024-12-01T10:00:00Z,1220,Power,Fan,2
,,0,2024-12-01T10:00:00Z,1490,Power,Fan,3
,,0,2024-12-01T10:00:00Z,2030,Power,Fan,4
,,0,2024-12-01T10:00:00Z,2650,Power,Fan,5
