#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,100125,Power,Fridge,1
,,0,2024-01-01T10:00:00Z,150217,Power,Fridge,2
,,0,2024-01-01T10:00:00Z,120567,Power,Fridge,3
,,0,2024-01-01T10:00:00Z,134789,Power,Fridge,4
,,0,2024-01-01T10:00:00Z,140504,Power,Fridge,5
,,0,2024-02-01T10:00:00Z,135345,Power,Fridge,1
,,0,2024-02-01T10:00:00Z,101256,Power,Fridge,2
,,0,2024-02-01T10:00:00Z,113890,Power,Fridge,3
,,0,2024-02-01T10:00:00Z,127654,Power,Fridge,4
,,0,2024-02-01T10:00:00Z,115378,Power,Fridge,5
,,0,2024-03-01T10:00:00Z,147500,Power,Fridge,1
,,0,2024-03-01T10:00:00Z,124789,Power,Fridge,2
,,0,2024-03-01T10:00:00Z,140212,Power,Fridge,3
,,0,2024-03-01T10:00:00Z,134543,Power,Fridge,4
,,0,2024-03-01T10:00:00Z,150804,Power,Fridge,5
,,0,2024-04-01T10:00:00Z,145630,Power,Fridge,1
,,0,2024-04-01T10:00:00Z,103872,Power,Fridge,2
,,0,2024-04-01T10:00:00Z,128765,Power,Fridge,3
,,0,2024-04-01T10:00:00Z,117654,Power,Fridge,4
,,0,2024-04-01T10:00:00Z,134217,Power,Fridge,5
,,0,2024-05-01T10:00:00Z,125765,Power,Fridge,1
,,0,2024-05-01T10:00:00Z,148739,Power,Fridge,2
,,0,2024-05-01T10:00:00Z,135678,Power,Fridge,3
,,0,2024-05-01T10:00:00Z,140276,Power,Fridge,4
,,0,2024-05-01T10:00:00Z,126584,Power,Fridge,5
,,0,2024-06-01T10:00:00Z,110174,Power,Fridge,1
,,0,2024-06-01T10:00:00Z,128475,Power,Fridge,2
,,0,2024-06-01T10:00:00Z,150123,Power,Fridge,3
,,0,2024-06-01T10:00:00Z,142306,Power,Fridge,4
,,0,2024-06-01T10:00:00Z,140001,Power,Fridge,5
,,0,2024-07-01T10:00:00Z,132112,Power,Fridge,1
,,0,2024-07-01T10:00:00Z,123789,Power,Fridge,2
,,0,2024-07-01T10:00:00Z,109876,Power,Fridge,3
,,0,2024-07-01T10:00:00Z,149567,Power,Fridge,4
,,0,2024-07-01T10:00:00Z,150000,Power,Fridge,5
,,0,2024-08-01T10:00:00Z,143213,Power,Fridge,1
,,0,2024-08-01T10:00:00Z,116789,Power,Fridge,2
,,0,2024-08-01T10:00:00Z,139256,Power,Fridge,3
,,0,2024-08-01T10:00:00Z,134689,Power,Fridge,4
,,0,2024-08-01T10:00:00Z,120987,Power,Fridge,5
,,0,2024-09-01T10:00:00Z,148679,Power,Fridge,1
,,0,2024-09-01T10:00:00Z,115404,Power,Fridge,2
,,0,2024-09-01T10:00:00Z,133560,Power,Fridge,3
,,0,2024-09-01T10:00:00Z,145623,Power,Fridge,4
,,0,2024-09-01T10:00:00Z,122406,Power,Fridge,5
,,0,2024-10-01T10:00:00Z,149204,Power,Fridge,1
,,0,2024-10-01T10:00:00Z,106732,Power,Fridge,2
,,0,2024-10-01T10:00:00Z,139876,Power,Fridge,3
,,0,2024-10-01T10:00:00Z,134120,Power,Fridge,4
,,0,2024-10-01T10:00:00Z,102457,Power,Fridge,5
,,0,2024-11-01T10:00:00Z,112364,Power,Fridge,1
,,0,2024-11-01T10:00:00Z,125789,Power,Fridge,2
,,0,2024-11-01T10:00:00Z,115431,Power,Fridge,3
,,0,2024-11-01T10:00:00Z,143251,Power,Fridge,4
,,0,2024-11-01T10:00:00Z,123567,Power,Fridge,5
,,0,2024-12-01T10:00:00Z,140504,Power,Fridge,1
,,0,2024-12-01T10:00:00Z,134214,Power,Fridge,2
,,0,2024-12-01T10:00:00Z,110987,Power,Fridge,3
,,0,2024-12-01T10:00:00Z,105676,Power,Fridge,4
,,0,2024-12-01T10:00:00Z,152189,Power,Fridge,5
