#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,75.4,Kelembaban,AC,1
,,0,2024-01-01T10:00:00Z,72.1,Kelembaban,AC,2
,,0,2024-01-01T10:00:00Z,68.9,Kelembaban,AC,3
,,0,2024-01-01T10:00:00Z,80.2,Kelembaban,AC,4
,,0,2024-01-01T10:00:00Z,70.5,Kelembaban,AC,5
,,0,2024-02-01T10:00:00Z,74.8,Kelembaban,AC,1
,,0,2024-02-01T10:00:00Z,77.6,Kelembaban,AC,2
,,0,2024-02-01T10:00:00Z,79.9,Kelembaban,AC,3
,,0,2024-02-01T10:00:00Z,82.3,Kelembaban,AC,4
,,0,2024-02-01T10:00:00Z,76.1,Kelembaban,AC,5
,,0,2024-03-01T10:00:00Z,71.2,Kelembaban,AC,1
,,0,2024-03-01T10:00:00Z,78.0,Kelembaban,AC,2
,,0,2024-03-01T10:00:00Z,75.3,Kelembaban,AC,3
,,0,2024-03-01T10:00:00Z,69.5,Kelembaban,AC,4
,,0,2024-03-01T10:00:00Z,83.4,Kelembaban,AC,5
,,0,2024-04-01T10:00:00Z,85.1,Kelembaban,AC,1
,,0,2024-04-01T10:00:00Z,74.3,Kelembaban,AC,2
,,0,2024-04-01T10:00:00Z,72.6,Kelembaban,AC,3
,,0,2024-04-01T10:00:00Z,77.4,Kelembaban,AC,4
,,0,2024-04-01T10:00:00Z,81.8,Kelembaban,AC,5
,,0,2024-05-01T10:00:00Z,76.2,Kelembaban,AC,1
,,0,2024-05-01T10:00:00Z,79.4,Kelembaban,AC,2
,,0,2024-05-01T10:00:00Z,70.8,Kelembaban,AC,3
,,0,2024-05-01T10:00:00Z,73.5,Kelembaban,AC,4
,,0,2024-05-01T10:00:00Z,68.2,Kelembaban,AC,5
,,0,2024-06-01T10:00:00Z,77.0,Kelembaban,AC,1
,,0,2024-06-01T10:00:00Z,82.6,Kelembaban,AC,2
,,0,2024-06-01T10:00:00Z,75.3,Kelembaban,AC,3
,,0,2024-06-01T10:00:00Z,74.1,Kelembaban,AC,4
,,0,2024-06-01T10:00:00Z,79.9,Kelembaban,AC,5
,,0,2024-07-01T10:00:00Z,78.5,Kelembaban,AC,1
,,0,2024-07-01T10:00:00Z,71.0,Kelembaban,AC,2
,,0,2024-07-01T10:00:00Z,79.7,Kelembaban,AC,3
,,0,2024-07-01T10:00:00Z,73.9,Kelembaban,AC,4
,,0,2024-07-01T10:00:00Z,75.2,Kelembaban,AC,5
,,0,2024-08-01T10:00:00Z,80.9,Kelembaban,AC,1
,,0,2024-08-01T10:00:00Z,76.3,Kelembaban,AC,2
,,0,2024-08-01T10:00:00Z,73.6,Kelembaban,AC,3
,,0,2024-08-01T10:00:00Z,79.1,Kelembaban,AC,4
,,0,2024-08-01T10:00:00Z,81.5,Kelembaban,AC,5
,,0,2024-09-01T10:00:00Z,74.7,Kelembaban,AC,1
,,0,2024-09-01T10:00:00Z,77.5,Kelembaban,AC,2
,,0,2024-09-01T10:00:00Z,75.8,Kelembaban,AC,3
,,0,2024-09-01T10:00:00Z,72.2,Kelembaban,AC,4
,,0,2024-09-01T10:00:00Z,78.1,Kelembaban,AC,5
,,0,2024-10-01T10:00:00Z,71.3,Kelembaban,AC,1
,,0,2024-10-01T10:00:00Z,75.9,Kelembaban,AC,2
,,0,2024-10-01T10:00:00Z,80.7,Kelembaban,AC,3
,,0,2024-10-01T10:00:00Z,79.0,Kelembaban,AC,4
,,0,2024-10-01T10:00:00Z,73.3,Kelembaban,AC,5
,,0,2024-11-01T10:00:00Z,79.6,Kelembaban,AC,1
,,0,2024-11-01T10:00:00Z,82.1,Kelembaban,AC,2
,,0,2024-11-01T10:00:00Z,73.1,Kelembaban,AC,3
,,0,2024-11-01T10:00:00Z,76.4,Kelembaban,AC,4
,,0,2024-11-01T10:00:00Z,70.8,Kelembaban,AC,5
,,0,2024-12-01T10:00:00Z,75.6,Kelembaban,AC,1
,,0,2024-12-01T10:00:00Z,72.8,Kelembaban,AC,2
,,0,2024-12-01T10:00:00Z,71.1,Kelembaban,AC,3
,,0,2024-12-01T10:00:00Z,79.8,Kelembaban,AC,4
,,0,2024-12-01T10:00:00Z,80.4,Kelembaban,AC,5
