#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,55.3,kelembapan,RoomHumidity,1
,,0,2024-01-01T10:00:00Z,57.8,kelembapan,RoomHumidity,2
,,0,2024-01-01T10:00:00Z,53.1,kelembapan,RoomHumidity,3
,,0,2024-01-01T10:00:00Z,54.9,kelembapan,RoomHumidity,4
,,0,2024-01-01T10:00:00Z,56.2,kelembapan,RoomHumidity,5
,,0,2024-02-01T10:00:00Z,56.7,kelembapan,RoomHumidity,1
,,0,2024-02-01T10:00:00Z,55.5,kelembapan,RoomHumidity,2
,,0,2024-02-01T10:00:00Z,58.3,kelembapan,RoomHumidity,3
,,0,2024-02-01T10:00:00Z,55.2,kelembapan,RoomHumidity,4
,,0,2024-02-01T10:00:00Z,54.8,kelembapan,RoomHumidity,5
,,0,2024-03-01T10:00:00Z,60.1,kelembapan,RoomHumidity,1
,,0,2024-03-01T10:00:00Z,59.7,kelembapan,RoomHumidity,2
,,0,2024-03-01T10:00:00Z,57.9,kelembapan,RoomHumidity,3
,,0,2024-03-01T10:00:00Z,58.4,kelembapan,RoomHumidity,4
,,0,2024-03-01T10:00:00Z,59.3,kelembapan,RoomHumidity,5
,,0,2024-04-01T10:00:00Z,55.4,kelembapan,RoomHumidity,1
,,0,2024-04-01T10:00:00Z,57.2,kelembapan,RoomHumidity,2
,,0,2024-04-01T10:00:00Z,56.8,kelembapan,RoomHumidity,3
,,0,2024-04-01T10:00:00Z,58.0,kelembapan,RoomHumidity,4
,,0,2024-04-01T10:00:00Z,54.6,kelembapan,RoomHumidity,5
,,0,2024-05-01T10:00:00Z,60.4,kelembapan,RoomHumidity,1
,,0,2024-05-01T10:00:00Z,59.5,kelembapan,RoomHumidity,2
,,0,2024-05-01T10:00:00Z,55.7,kelembapan,RoomHumidity,3
,,0,2024-05-01T10:00:00Z,57.6,kelembapan,RoomHumidity,4
,,0,2024-05-01T10:00:00Z,61.1,kelembapan,RoomHumidity,5
,,0,2024-06-01T10:00:00Z,58.9,kelembapan,RoomHumidity,1
,,0,2024-06-01T10:00:00Z,59.2,kelembapan,RoomHumidity,2
,,0,2024-06-01T10:00:00Z,56.5,kelembapan,RoomHumidity,3
,,0,2024-06-01T10:00:00Z,58.0,kelembapan,RoomHumidity,4
,,0,2024-06-01T10:00:00Z,57.4,kelembapan,RoomHumidity,5
,,0,2024-07-01T10:00:00Z,60.2,kelembapan,RoomHumidity,1
,,0,2024-07-01T10:00:00Z,59.8,kelembapan,RoomHumidity,2
,,0,2024-07-01T10:00:00Z,61.0,kelembapan,RoomHumidity,3
,,0,2024-07-01T10:00:00Z,57.5,kelembapan,RoomHumidity,4
,,0,2024-07-01T10:00:00Z,59.1,kelembapan,RoomHumidity,5
,,0,2024-08-01T10:00:00Z,58.1,kelembapan,RoomHumidity,1
,,0,2024-08-01T10:00:00Z,56.9,kelembapan,RoomHumidity,2
,,0,2024-08-01T10:00:00Z,59.4,kelembapan,RoomHumidity,3
,,0,2024-08-01T10:00:00Z,60.3,kelembapan,RoomHumidity,4
,,0,2024-08-01T10:00:00Z,59.2,kelembapan,RoomHumidity,5
,,0,2024-09-01T10:00:00Z,56.4,kelembapan,RoomHumidity,1
,,0,2024-09-01T10:00:00Z,57.3,kelembapan,RoomHumidity,2
,,0,2024-09-01T10:00:00Z,59.6,kelembapan,RoomHumidity,3
,,0,2024-09-01T10:00:00Z,58.6,kelembapan,RoomHumidity,4
,,0,2024-09-01T10:00:00Z,56.5,kelembapan,RoomHumidity,5
,,0,2024-10-01T10:00:00Z,60.2,kelembapan,RoomHumidity,1
,,0,2024-10-01T10:00:00Z,59.4,kelembapan,RoomHumidity,2
,,0,2024-10-01T10:00:00Z,58.1,kelembapan,RoomHumidity,3
,,0,2024-10-01T10:00:00Z,60.0,kelembapan,RoomHumidity,4
,,0,2024-10-01T10:00:00Z,61.0,kelembapan,RoomHumidity,5
,,0,2024-11-01T10:00:00Z,59.8,kelembapan,RoomHumidity,1
,,0,2024-11-01T10:00:00Z,58.2,kelembapan,RoomHumidity,2
,,0,2024-11-01T10:00:00Z,60.5,kelembapan,RoomHumidity,3
,,0,2024-11-01T10:00:00Z,59.1,kelembapan,RoomHumidity,4
,,0,2024-11-01T10:00:00Z,60.0,kelembapan,RoomHumidity,5
,,0,2024-12-01T10:00:00Z,57.6,kelembapan,RoomHumidity,1
,,0,2024-12-01T10:00:00Z,58.7,kelembapan,RoomHumidity,2
,,0,2024-12-01T10:00:00Z,59.2,kelembapan,RoomHumidity,3
,,0,2024-12-01T10:00:00Z,56.8,kelembapan,RoomHumidity,4
,,0,2024-12-01T10:00:00Z,59.5,kelembapan,RoomHumidity,5
