#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,1.12,KonsumsiListrik,RoomCensor,1
,,0,2024-01-01T10:00:00Z,1.75,KonsumsiListrik,RoomCensor,2
,,0,2024-01-01T10:00:00Z,1.63,KonsumsiListrik,RoomCensor,3
,,0,2024-01-01T10:00:00Z,1.48,KonsumsiListrik,RoomCensor,4
,,0,2024-01-01T10:00:00Z,1.36,KonsumsiListrik,RoomCensor,5
,,0,2024-02-01T10:00:00Z,1.26,KonsumsiListrik,RoomCensor,1
,,0,2024-02-01T10:00:00Z,1.41,KonsumsiListrik,RoomCensor,2
,,0,2024-02-01T10:00:00Z,1.51,KonsumsiListrik,RoomCensor,3
,,0,2024-02-01T10:00:00Z,1.34,KonsumsiListrik,RoomCensor,4
,,0,2024-02-01T10:00:00Z,1.58,KonsumsiListrik,RoomCensor,5
,,0,2024-03-01T10:00:00Z,1.21,KonsumsiListrik,RoomCensor,1
,,0,2024-03-01T10:00:00Z,1.39,KonsumsiListrik,RoomCensor,2
,,0,2024-03-01T10:00:00Z,1.47,KonsumsiListrik,RoomCensor,3
,,0,2024-03-01T10:00:00Z,1.33,KonsumsiListrik,RoomCensor,4
,,0,2024-03-01T10:00:00Z,1.25,KonsumsiListrik,RoomCensor,5
,,0,2024-04-01T10:00:00Z,1.56,KonsumsiListrik,RoomCensor,1
,,0,2024-04-01T10:00:00Z,1.48,KonsumsiListrik,RoomCensor,2
,,0,2024-04-01T10:00:00Z,1.35,KonsumsiListrik,RoomCensor,3
,,0,2024-04-01T10:00:00Z,1.43,KonsumsiListrik,RoomCensor,4
,,0,2024-04-01T10:00:00Z,1.32,KonsumsiListrik,RoomCensor,5
,,0,2024-05-01T10:00:00Z,1.57,KonsumsiListrik,RoomCensor,1
,,0,2024-05-01T10:00:00Z,1.22,KonsumsiListrik,RoomCensor,2
,,0,2024-05-01T10:00:00Z,1.42,KonsumsiListrik,RoomCensor,3
,,0,2024-05-01T10:00:00Z,1.61,KonsumsiListrik,RoomCensor,4
,,0,2024-05-01T10:00:00Z,1.51,KonsumsiListrik,RoomCensor,5
,,0,2024-06-01T10:00:00Z,1.54,KonsumsiListrik,RoomCensor,1
,,0,2024-06-01T10:00:00Z,1.36,KonsumsiListrik,RoomCensor,2
,,0,2024-06-01T10:00:00Z,1.29,KonsumsiListrik,RoomCensor,3
,,0,2024-06-01T10:00:00Z,1.45,KonsumsiListrik,RoomCensor,4
,,0,2024-06-01T10:00:00Z,1.38,KonsumsiListrik,RoomCensor,5
,,0,2024-07-01T10:00:00Z,1.52,KonsumsiListrik,RoomCensor,1
,,0,2024-07-01T10:00:00Z,1.64,KonsumsiListrik,RoomCensor,2
,,0,2024-07-01T10:00:00Z,1.40,KonsumsiListrik,RoomCensor,3
,,0,2024-07-01T10:00:00Z,1.34,KonsumsiListrik,RoomCensor,4
,,0,2024-07-01T10:00:00Z,1.44,KonsumsiListrik,RoomCensor,5
,,0,2024-08-01T10:00:00Z,1.59,KonsumsiListrik,RoomCensor,1
,,0,2024-08-01T10:00:00Z,1.32,KonsumsiListrik,RoomCensor,2
,,0,2024-08-01T10:00:00Z,1.31,KonsumsiListrik,RoomCensor,3
,,0,2024-08-01T10:00:00Z,1.62,KonsumsiListrik,RoomCensor,4
,,0,2024-08-01T10:00:00Z,1.57,KonsumsiListrik,RoomCensor,5
,,0,2024-09-01T10:00:00Z,1.36,KonsumsiListrik,RoomCensor,1
,,0,2024-09-01T10:00:00Z,1.41,KonsumsiListrik,RoomCensor,2
,,0,2024-09-01T10:00:00Z,1.43,KonsumsiListrik,RoomCensor,3
,,0,2024-09-01T10:00:00Z,1.49,KonsumsiListrik,RoomCensor,4
,,0,2024-09-01T10:00:00Z,1.52,KonsumsiListrik,RoomCensor,5
,,0,2024-10-01T10:00:00Z,1.55,KonsumsiListrik,RoomCensor,1
,,0,2024-10-01T10:00:00Z,1.40,KonsumsiListrik,RoomCensor,2
,,0,2024-10-01T10:00:00Z,1.34,KonsumsiListrik,RoomCensor,3
,,0,2024-10-01T10:00:00Z,1.33,KonsumsiListrik,RoomCensor,4
,,0,2024-10-01T10:00:00Z,1.47,KonsumsiListrik,RoomCensor,5
,,0,2024-11-01T10:00:00Z,1.58,KonsumsiListrik,RoomCensor,1
,,0,2024-11-01T10:00:00Z,1.63,KonsumsiListrik,RoomCensor,2
,,0,2024-11-01T10:00:00Z,1.39,KonsumsiListrik,RoomCensor,3
,,0,2024-11-01T10:00:00Z,1.45,KonsumsiListrik,RoomCensor,4
,,0,2024-11-01T10:00:00Z,1.53,KonsumsiListrik,RoomCensor,5
,,0,2024-12-01T10:00:00Z,1.49,KonsumsiListrik,RoomCensor,1
,,0,2024-12-01T10:00:00Z,1.57,KonsumsiListrik,RoomCensor,2
,,0,2024-12-01T10:00:00Z,1.45,KonsumsiListrik,RoomCensor,3
,,0,2024-12-01T10:00:00Z,1.48,KonsumsiListrik,RoomCensor,4
,,0,2024-12-01T10:00:00Z,1.38,KonsumsiListrik,RoomCensor,5
