#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,9.12,KonsumsiListrik,SecurityDoor,1
,,0,2024-01-01T10:00:00Z,8.56,KonsumsiListrik,SecurityDoor,2
,,0,2024-01-01T10:00:00Z,9.43,KonsumsiListrik,SecurityDoor,3
,,0,2024-02-01T10:00:00Z,8.76,KonsumsiListrik,SecurityDoor,1
,,0,2024-02-01T10:00:00Z,9.09,KonsumsiListrik,SecurityDoor,2
,,0,2024-02-01T10:00:00Z,8.93,KonsumsiListrik,SecurityDoor,3
,,0,2024-03-01T10:00:00Z,9.01,KonsumsiListrik,SecurityDoor,1
,,0,2024-03-01T10:00:00Z,8.87,KonsumsiListrik,SecurityDoor,2
,,0,2024-03-01T10:00:00Z,8.78,KonsumsiListrik,SecurityDoor,3
,,0,2024-04-01T10:00:00Z,9.16,KonsumsiListrik,SecurityDoor,1
,,0,2024-04-01T10:00:00Z,9.34,KonsumsiListrik,SecurityDoor,2
,,0,2024-04-01T10:00:00Z,8.94,KonsumsiListrik,SecurityDoor,3
,,0,2024-05-01T10:00:00Z,8.65,KonsumsiListrik,SecurityDoor,1
,,0,2024-05-01T10:00:00Z,9.04,KonsumsiListrik,SecurityDoor,2
,,0,2024-05-01T10:00:00Z,8.88,KonsumsiListrik,SecurityDoor,3
,,0,2024-06-01T10:00:00Z,9.23,KonsumsiListrik,SecurityDoor,1
,,0,2024-06-01T10:00:00Z,8.93,KonsumsiListrik,SecurityDoor,2
,,0,2024-06-01T10:00:00Z,9.12,KonsumsiListrik,SecurityDoor,3
,,0,2024-07-01T10:00:00Z,8.95,KonsumsiListrik,SecurityDoor,1
,,0,2024-07-01T10:00:00Z,8.79,KonsumsiListrik,SecurityDoor,2
,,0,2024-07-01T10:00:00Z,9.01,KonsumsiListrik,SecurityDoor,3
,,0,2024-08-01T10:00:00Z,8.99,KonsumsiListrik,SecurityDoor,1
,,0,2024-08-01T10:00:00Z,9.04,KonsumsiListrik,SecurityDoor,2
,,0,2024-08-01T10:00:00Z,9.33,KonsumsiListrik,SecurityDoor,3
,,0,2024-09-01T10:00:00Z,9.05,KonsumsiListrik,SecurityDoor,1
,,0,2024-09-01T10:00:00Z,8.78,KonsumsiListrik,SecurityDoor,2
,,0,2024-09-01T10:00:00Z,9.26,KonsumsiListrik,SecurityDoor,3
,,0,2024-10-01T10:00:00Z,9.22,KonsumsiListrik,SecurityDoor,1
,,0,2024-10-01T10:00:00Z,8.96,KonsumsiListrik,SecurityDoor,2
,,0,2024-10-01T10:00:00Z,9.04,KonsumsiListrik,SecurityDoor,3
,,0,2024-11-01T10:00:00Z,9.19,KonsumsiListrik,SecurityDoor,1
,,0,2024-11-01T10:00:00Z,8.92,KonsumsiListrik,SecurityDoor,2
,,0,2024-11-01T10:00:00Z,8.77,KonsumsiListrik,SecurityDoor,3
,,0,2024-12-01T10:00:00Z,9.06,KonsumsiListrik,SecurityDoor,1
,,0,2024-12-01T10:00:00Z,9.14,KonsumsiListrik,SecurityDoor,2
,,0,2024-12-01T10:00:00Z,8.89,KonsumsiListrik,SecurityDoor,3
