#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,4.23,KonsumsiListrik,TV,1
,,0,2024-01-01T10:00:00Z,3.89,KonsumsiListrik,TV,2
,,0,2024-01-01T10:00:00Z,4.56,KonsumsiListrik,TV,3
,,0,2024-01-01T10:00:00Z,4.72,KonsumsiListrik,TV,4
,,0,2024-01-01T10:00:00Z,3.99,KonsumsiListrik,TV,5
,,0,2024-02-01T10:00:00Z,4.12,KonsumsiListrik,TV,1
,,0,2024-02-01T10:00:00Z,3.77,KonsumsiListrik,TV,2
,,0,2024-02-01T10:00:00Z,4.35,KonsumsiListrik,TV,3
,,0,2024-02-01T10:00:00Z,4.98,KonsumsiListrik,TV,4
,,0,2024-02-01T10:00:00Z,3.84,KonsumsiListrik,TV,5
,,0,2024-03-01T10:00:00Z,3.91,KonsumsiListrik,TV,1
,,0,2024-03-01T10:00:00Z,4.17,KonsumsiListrik,TV,2
,,0,2024-03-01T10:00:00Z,3.42,KonsumsiListrik,TV,3
,,0,2024-03-01T10:00:00Z,4.63,KonsumsiListrik,TV,4
,,0,2024-03-01T10:00:00Z,4.25,KonsumsiListrik,TV,5
,,0,2024-04-01T10:00:00Z,4.52,KonsumsiListrik,TV,1
,,0,2024-04-01T10:00:00Z,3.88,KonsumsiListrik,TV,2
,,0,2024-04-01T10:00:00Z,3.91,KonsumsiListrik,TV,3
,,0,2024-04-01T10:00:00Z,4.19,KonsumsiListrik,TV,4
,,0,2024-04-01T10:00:00Z,3.73,KonsumsiListrik,TV,5
,,0,2024-05-01T10:00:00Z,4.47,KonsumsiListrik,TV,1
,,0,2024-05-01T10:00:00Z,3.55,KonsumsiListrik,TV,2
,,0,2024-05-01T10:00:00Z,4.82,KonsumsiListrik,TV,3
,,0,2024-05-01T10:00:00Z,3.95,KonsumsiListrik,TV,4
,,0,2024-05-01T10:00:00Z,4.11,KonsumsiListrik,TV,5
,,0,2024-06-01T10:00:00Z,3.83,KonsumsiListrik,TV,1
,,0,2024-06-01T10:00:00Z,4.27,KonsumsiListrik,TV,2
,,0,2024-06-01T10:00:00Z,3.92,KonsumsiListrik,TV,3
,,0,2024-06-01T10:00:00Z,4.05,KonsumsiListrik,TV,4
,,0,2024-06-01T10:00:00Z,4.19,KonsumsiListrik,TV,5
,,0,2024-07-01T10:00:00Z,4.03,KonsumsiListrik,TV,1
,,0,2024-07-01T10:00:00Z,3.72,KonsumsiListrik,TV,2
,,0,2024-07-01T10:00:00Z,3.58,KonsumsiListrik,TV,3
,,0,2024-07-01T10:00:00Z,4.65,KonsumsiListrik,TV,4
,,0,2024-07-01T10:00:00Z,4.11,KonsumsiListrik,TV,5
,,0,2024-08-01T10:00:00Z,4.07,KonsumsiListrik,TV,1
,,0,2024-08-01T10:00:00Z,4.28,KonsumsiListrik,TV,2
,,0,2024-08-01T10:00:00Z,4.61,KonsumsiListrik,TV,3
,,0,2024-08-01T10:00:00Z,4.13,KonsumsiListrik,TV,4
,,0,2024-08-01T10:00:00Z,3.98,KonsumsiListrik,TV,5
,,0,2024-09-01T10:00:00Z,4.56,KonsumsiListrik,TV,1
,,0,2024-09-01T10:00:00Z,4.05,KonsumsiListrik,TV,2
,,0,2024-09-01T10:00:00Z,4.23,KonsumsiListrik,TV,3
,,0,2024-09-01T10:00:00Z,4.39,KonsumsiListrik,TV,4
,,0,2024-09-01T10:00:00Z,4.77,KonsumsiListrik,TV,5
,,0,2024-10-01T10:00:00Z,3.83,KonsumsiListrik,TV,1
,,0,2024-10-01T10:00:00Z,4.74,KonsumsiListrik,TV,2
,,0,2024-10-01T10:00:00Z,3.99,KonsumsiListrik,TV,3
,,0,2024-10-01T10:00:00Z,4.81,KonsumsiListrik,TV,4
,,0,2024-10-01T10:00:00Z,4.92,KonsumsiListrik,TV,5
,,0,2024-11-01T10:00:00Z,3.78,KonsumsiListrik,TV,1
,,0,2024-11-01T10:00:00Z,4.16,KonsumsiListrik,TV,2
,,0,2024-11-01T10:00:00Z,4.45,KonsumsiListrik,TV,3
,,0,2024-11-01T10:00:00Z,4.22,KonsumsiListrik,TV,4
,,0,2024-11-01T10:00:00Z,4.09,KonsumsiListrik,TV,5
,,0,2024-12-01T10:00:00Z,4.53,KonsumsiListrik,TV,1
,,0,2024-12-01T10:00:00Z,3.96,KonsumsiListrik,TV,2
,,0,2024-12-01T10:00:00Z,3.77,KonsumsiListrik,TV,3
,,0,2024-12-01T10:00:00Z,4.41,KonsumsiListrik,TV,4
,,0,2024-12-01T10:00:00Z,3.85,KonsumsiListrik,TV,5
