#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,21.6,Temperature,RoomTemperature,1
,,0,2024-01-01T10:00:00Z,22.5,Temperature,RoomTemperature,2
,,0,2024-01-01T10:00:00Z,20.3,Temperature,RoomTemperature,3
,,0,2024-01-01T10:00:00Z,21.4,Temperature,RoomTemperature,4
,,0,2024-01-01T10:00:00Z,22.0,Temperature,RoomTemperature,5
,,0,2024-02-01T10:00:00Z,21.8,Temperature,RoomTemperature,1
,,0,2024-02-01T10:00:00Z,20.7,Temperature,RoomTemperature,2
,,0,2024-02-01T10:00:00Z,21.5,Temperature,RoomTemperature,3
,,0,2024-02-01T10:00:00Z,22.3,Temperature,RoomTemperature,4
,,0,2024-02-01T10:00:00Z,20.4,Temperature,RoomTemperature,5
,,0,2024-03-01T10:00:00Z,23.0,Temperature,RoomTemperature,1
,,0,2024-03-01T10:00:00Z,21.7,Temperature,RoomTemperature,2
,,0,2024-03-01T10:00:00Z,22.6,Temperature,RoomTemperature,3
,,0,2024-03-01T10:00:00Z,21.9,Temperature,RoomTemperature,4
,,0,2024-03-01T10:00:00Z,22.8,Temperature,RoomTemperature,5
,,0,2024-04-01T10:00:00Z,21.1,Temperature,RoomTemperature,1
,,0,2024-04-01T10:00:00Z,22.4,Temperature,RoomTemperature,2
,,0,2024-04-01T10:00:00Z,23.3,Temperature,RoomTemperature,3
,,0,2024-04-01T10:00:00Z,22.5,Temperature,RoomTemperature,4
,,0,2024-04-01T10:00:00Z,21.0,Temperature,RoomTemperature,5
,,0,2024-05-01T10:00:00Z,22.2,Temperature,RoomTemperature,1
,,0,2024-05-01T10:00:00Z,23.1,Temperature,RoomTemperature,2
,,0,2024-05-01T10:00:00Z,20.6,Temperature,RoomTemperature,3
,,0,2024-05-01T10:00:00Z,22.7,Temperature,RoomTemperature,4
,,0,2024-05-01T10:00:00Z,23.5,Temperature,RoomTemperature,5
,,0,2024-06-01T10:00:00Z,23.4,Temperature,RoomTemperature,1
,,0,2024-06-01T10:00:00Z,21.9,Temperature,RoomTemperature,2
,,0,2024-06-01T10:00:00Z,22.1,Temperature,RoomTemperature,3
,,0,2024-06-01T10:00:00Z,21.3,Temperature,RoomTemperature,4
,,0,2024-06-01T10:00:00Z,22.0,Temperature,RoomTemperature,5
,,0,2024-07-01T10:00:00Z,21.2,Temperature,RoomTemperature,1
,,0,2024-07-01T10:00:00Z,22.9,Temperature,RoomTemperature,2
,,0,2024-07-01T10:00:00Z,23.6,Temperature,RoomTemperature,3
,,0,2024-07-01T10:00:00Z,20.5,Temperature,RoomTemperature,4
,,0,2024-07-01T10:00:00Z,22.8,Temperature,RoomTemperature,5
,,0,2024-08-01T10:00:00Z,21.5,Temperature,RoomTemperature,1
,,0,2024-08-01T10:00:00Z,20.8,Temperature,RoomTemperature,2
,,0,2024-08-01T10:00:00Z,22.5,Temperature,RoomTemperature,3
,,0,2024-08-01T10:00:00Z,23.7,Temperature,RoomTemperature,4
,,0,2024-08-01T10:00:00Z,22.6,Temperature,RoomTemperature,5
,,0,2024-09-01T10:00:00Z,20.9,Temperature,RoomTemperature,1
,,0,2024-09-01T10:00:00Z,21.6,Temperature,RoomTemperature,2
,,0,2024-09-01T10:00:00Z,22.9,Temperature,RoomTemperature,3
,,0,2024-09-01T10:00:00Z,23.2,Temperature,RoomTemperature,4
,,0,2024-09-01T10:00:00Z,21.3,Temperature,RoomTemperature,5
,,0,2024-10-01T10:00:00Z,22.3,Temperature,RoomTemperature,1
,,0,2024-10-01T10:00:00Z,23.0,Temperature,RoomTemperature,2
,,0,2024-10-01T10:00:00Z,21.7,Temperature,RoomTemperature,3
,,0,2024-10-01T10:00:00Z,22.5,Temperature,RoomTemperature,4
,,0,2024-10-01T10:00:00Z,23.1,Temperature,RoomTemperature,5
,,0,2024-11-01T10:00:00Z,22.4,Temperature,RoomTemperature,1
,,0,2024-11-01T10:00:00Z,23.8,Temperature,RoomTemperature,2
,,0,2024-11-01T10:00:00Z,21.9,Temperature,RoomTemperature,3
,,0,2024-11-01T10:00:00Z,22.0,Temperature,RoomTemperature,4
,,0,2024-11-01T10:00:00Z,23.5,Temperature,RoomTemperature,5
,,0,2024-12-01T10:00:00Z,21.8,Temperature,RoomTemperature,1
,,0,2024-12-01T10:00:00Z,22.6,Temperature,RoomTemperature,2
,,0,2024-12-01T10:00:00Z,23.3,Temperature,RoomTemperature,3
,,0,2024-12-01T10:00:00Z,20.7,Temperature,RoomTemperature,4
,,0,2024-12-01T10:00:00Z,22.9,Temperature,RoomTemperature,5
