#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,1345,Power,TV,1
,,0,2024-01-01T10:00:00Z,2389,Power,TV,2
,,0,2024-01-01T10:00:00Z,4567,Power,TV,3
,,0,2024-01-01T10:00:00Z,7865,Power,TV,4
,,0,2024-01-01T10:00:00Z,9123,Power,TV,5
,,0,2024-02-01T10:00:00Z,1234,Power,TV,1
,,0,2024-02-01T10:00:00Z,2345,Power,TV,2
,,0,2024-02-01T10:00:00Z,3456,Power,TV,3
,,0,2024-02-01T10:00:00Z,6789,Power,TV,4
,,0,2024-02-01T10:00:00Z,7890,Power,TV,5
,,0,2024-03-01T10:00:00Z,4567,Power,TV,1
,,0,2024-03-01T10:00:00Z,5678,Power,TV,2
,,0,2024-03-01T10:00:00Z,6789,Power,TV,3
,,0,2024-03-01T10:00:00Z,7890,Power,TV,4
,,0,2024-03-01T10:00:00Z,8901,Power,TV,5
,,0,2024-04-01T10:00:00Z,1234,Power,TV,1
,,0,2024-04-01T10:00:00Z,2345,Power,TV,2
,,0,2024-04-01T10:00:00Z,3456,Power,TV,3
,,0,2024-04-01T10:00:00Z,4567,Power,TV,4
,,0,2024-04-01T10:00:00Z,5678,Power,TV,5
,,0,2024-05-01T10:00:00Z,6789,Power,TV,1
,,0,2024-05-01T10:00:00Z,7890,Power,TV,2
,,0,2024-05-01T10:00:00Z,8901,Power,TV,3
,,0,2024-05-01T10:00:00Z,1234,Power,TV,4
,,0,2024-05-01T10:00:00Z,2345,Power,TV,5
,,0,2024-06-01T10:00:00Z,3456,Power,TV,1
,,0,2024-06-01T10:00:00Z,4567,Power,TV,2
,,0,2024-06-01T10:00:00Z,5678,Power,TV,3
,,0,2024-06-01T10:00:00Z,6789,Power,TV,4
,,0,2024-06-01T10:00:00Z,7890,Power,TV,5
,,0,2024-07-01T10:00:00Z,8901,Power,TV,1
,,0,2024-07-01T10:00:00Z,1234,Power,TV,2
,,0,2024-07-01T10:00:00Z,2345,Power,TV,3
,,0,2024-07-01T10:00:00Z,3456,Power,TV,4
,,0,2024-07-01T10:00:00Z,4567,Power,TV,5
,,0,2024-08-01T10:00:00Z,5678,Power,TV,1
,,0,2024-08-01T10:00:00Z,6789,Power,TV,2
,,0,2024-08-01T10:00:00Z,7890,Power,TV,3
,,0,2024-08-01T10:00:00Z,8901,Power,TV,4
,,0,2024-08-01T10:00:00Z,1234,Power,TV,5
,,0,2024-09-01T10:00:00Z,2345,Power,TV,1
,,0,2024-09-01T10:00:00Z,3456,Power,TV,2
,,0,2024-09-01T10:00:00Z,4567,Power,TV,3
,,0,2024-09-01T10:00:00Z,5678,Power,TV,4
,,0,2024-09-01T10:00:00Z,6789,Power,TV,5
,,0,2024-10-01T10:00:00Z,8901,Power,TV,1
,,0,2024-10-01T10:00:00Z,1234,Power,TV,2
,,0,2024-10-01T10:00:00Z,2345,Power,TV,3
,,0,2024-10-01T10:00:00Z,3456,Power,TV,4
,,0,2024-10-01T10:00:00Z,4567,Power,TV,5
,,0,2024-11-01T10:00:00Z,5678,Power,TV,1
,,0,2024-11-01T10:00:00Z,6789,Power,TV,2
,,0,2024-11-01T10:00:00Z,7890,Power,TV,3
,,0,2024-11-01T10:00:00Z,8901,Power,TV,4
,,0,2024-11-01T10:00:00Z,1234,Power,TV,5
,,0,2024-12-01T10:00:00Z,2345,Power,TV,1
,,0,2024-12-01T10:00:00Z,3456,Power,TV,2
,,0,2024-12-01T10:00:00Z,4567,Power,TV,3
,,0,2024-12-01T10:00:00Z,5678,Power,TV,4
,,0,2024-12-01T10:00:00Z,6789,Power,TV,5
