#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,5.0,Kelembapan,Fridge,1
,,0,2024-01-01T10:00:00Z,6.5,Kelembapan,Fridge,2
,,0,2024-01-01T10:00:00Z,4.8,Kelembapan,Fridge,3
,,0,2024-01-01T10:00:00Z,6.1,Kelembapan,Fridge,4
,,0,2024-01-01T10:00:00Z,5.7,Kelembapan,Fridge,5
,,0,2024-02-01T10:00:00Z,5.4,Kelembapan,Fridge,1
,,0,2024-02-01T10:00:00Z,4.3,Kelembapan,Fridge,2
,,0,2024-02-01T10:00:00Z,5.0,Kelembapan,Fridge,3
,,0,2024-02-01T10:00:00Z,4.9,Kelembapan,Fridge,4
,,0,2024-02-01T10:00:00Z,4.6,Kelembapan,Fridge,5
,,0,2024-03-01T10:00:00Z,6.2,Kelembapan,Fridge,1
,,0,2024-03-01T10:00:00Z,5.1,Kelembapan,Fridge,2
,,0,2024-03-01T10:00:00Z,6.0,Kelembapan,Fridge,3
,,0,2024-03-01T10:00:00Z,5.3,Kelembapan,Fridge,4
,,0,2024-03-01T10:00:00Z,6.7,Kelembapan,Fridge,5
,,0,2024-04-01T10:00:00Z,6.1,Kelembapan,Fridge,1
,,0,2024-04-01T10:00:00Z,4.0,Kelembapan,Fridge,2
,,0,2024-04-01T10:00:00Z,5.5,Kelembapan,Fridge,3
,,0,2024-04-01T10:00:00Z,5.2,Kelembapan,Fridge,4
,,0,2024-04-01T10:00:00Z,5.6,Kelembapan,Fridge,5
,,0,2024-05-01T10:00:00Z,5.8,Kelembapan,Fridge,1
,,0,2024-05-01T10:00:00Z,6.3,Kelembapan,Fridge,2
,,0,2024-05-01T10:00:00Z,5.7,Kelembapan,Fridge,3
,,0,2024-05-01T10:00:00Z,6.0,Kelembapan,Fridge,4
,,0,2024-05-01T10:00:00Z,5.1,Kelembapan,Fridge,5
,,0,2024-06-01T10:00:00Z,5.4,Kelembapan,Fridge,1
,,0,2024-06-01T10:00:00Z,5.7,Kelembapan,Fridge,2
,,0,2024-06-01T10:00:00Z,6.2,Kelembapan,Fridge,3
,,0,2024-06-01T10:00:00Z,6.0,Kelembapan,Fridge,4
,,0,2024-06-01T10:00:00Z,5.9,Kelembapan,Fridge,5
,,0,2024-07-01T10:00:00Z,6.1,Kelembapan,Fridge,1
,,0,2024-07-01T10:00:00Z,5.5,Kelembapan,Fridge,2
,,0,2024-07-01T10:00:00Z,5.0,Kelembapan,Fridge,3
,,0,2024-07-01T10:00:00Z,6.4,Kelembapan,Fridge,4
,,0,2024-07-01T10:00:00Z,6.5,Kelembapan,Fridge,5
,,0,2024-08-01T10:00:00Z,6.3,Kelembapan,Fridge,1
,,0,2024-08-01T10:00:00Z,5.3,Kelembapan,Fridge,2
,,0,2024-08-01T10:00:00Z,5.9,Kelembapan,Fridge,3
,,0,2024-08-01T10:00:00Z,5.4,Kelembapan,Fridge,4
,,0,2024-08-01T10:00:00Z,5.0,Kelembapan,Fridge,5
,,0,2024-09-01T10:00:00Z,6.4,Kelembapan,Fridge,1
,,0,2024-09-01T10:00:00Z,5.2,Kelembapan,Fridge,2
,,0,2024-09-01T10:00:00Z,5.8,Kelembapan,Fridge,3
,,0,2024-09-01T10:00:00Z,6.1,Kelembapan,Fridge,4
,,0,2024-09-01T10:00:00Z,5.1,Kelembapan,Fridge,5
,,0,2024-10-01T10:00:00Z,6.5,Kelembapan,Fridge,1
,,0,2024-10-01T10:00:00Z,4.7,Kelembapan,Fridge,2
,,0,2024-10-01T10:00:00Z,6.0,Kelembapan,Fridge,3
,,0,2024-10-01T10:00:00Z,5.3,Kelembapan,Fridge,4
,,0,2024-10-01T10:00:00Z,4.1,Kelembapan,Fridge,5
,,0,2024-11-01T10:00:00Z,5.0,Kelembapan,Fridge,1
,,0,2024-11-01T10:00:00Z,5.8,Kelembapan,Fridge,2
,,0,2024-11-01T10:00:00Z,5.2,Kelembapan,Fridge,3
,,0,2024-11-01T10:00:00Z,6.3,Kelembapan,Fridge,4
,,0,2024-11-01T10:00:00Z,5.5,Kelembapan,Fridge,5
,,0,2024-12-01T10:00:00Z,6.1,Kelembapan,Fridge,1
,,0,2024-12-01T10:00:00Z,5.4,Kelembapan,Fridge,2
,,0,2024-12-01T10:00:00Z,4.6,Kelembapan,Fridge,3
,,0,2024-12-01T10:00:00Z,4.2,Kelembapan,Fridge,4
,,0,2024-12-01T10:00:00Z,6.7,Kelembapan,Fridge,5
