#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,21.53,KonsumsiListrik,AC,1
,,0,2024-01-01T10:00:00Z,23.11,KonsumsiListrik,AC,2
,,0,2024-01-01T10:00:00Z,19.82,KonsumsiListrik,AC,3
,,0,2024-01-01T10:00:00Z,25.47,KonsumsiListrik,AC,4
,,0,2024-01-01T10:00:00Z,20.15,KonsumsiListrik,AC,5
,,0,2024-02-01T10:00:00Z,22.14,KonsumsiListrik,AC,1
,,0,2024-02-01T10:00:00Z,26.37,KonsumsiListrik,AC,2
,,0,2024-02-01T10:00:00Z,23.56,KonsumsiListrik,AC,3
,,0,2024-02-01T10:00:00Z,18.73,KonsumsiListrik,AC,4
,,0,2024-02-01T10:00:00Z,24.28,KonsumsiListrik,AC,5
,,0,2024-03-01T10:00:00Z,23.92,KonsumsiListrik,AC,1
,,0,2024-03-01T10:00:00Z,20.02,KonsumsiListrik,AC,2
,,0,2024-03-01T10:00:00Z,22.77,KonsumsiListrik,AC,3
,,0,2024-03-01T10:00:00Z,23.67,KonsumsiListrik,AC,4
,,0,2024-03-01T10:00:00Z,21.69,KonsumsiListrik,AC,5
,,0,2024-04-01T10:00:00Z,26.12,KonsumsiListrik,AC,1
,,0,2024-04-01T10:00:00Z,27.72,KonsumsiListrik,AC,2
,,0,2024-04-01T10:00:00Z,24.96,KonsumsiListrik,AC,3
,,0,2024-04-01T10:00:00Z,22.38,KonsumsiListrik,AC,4
,,0,2024-04-01T10:00:00Z,20.86,KonsumsiListrik,AC,5
,,0,2024-05-01T10:00:00Z,19.48,KonsumsiListrik,AC,1
,,0,2024-05-01T10:00:00Z,20.03,KonsumsiListrik,AC,2
,,0,2024-05-01T10:00:00Z,18.35,KonsumsiListrik,AC,3
,,0,2024-05-01T10:00:00Z,22.35,KonsumsiListrik,AC,4
,,0,2024-05-01T10:00:00Z,27.02,KonsumsiListrik,AC,5
,,0,2024-06-01T10:00:00Z,25.17,KonsumsiListrik,AC,1
,,0,2024-06-01T10:00:00Z,21.08,KonsumsiListrik,AC,2
,,0,2024-06-01T10:00:00Z,26.54,KonsumsiListrik,AC,3
,,0,2024-06-01T10:00:00Z,24.29,KonsumsiListrik,AC,4
,,0,2024-06-01T10:00:00Z,22.98,KonsumsiListrik,AC,5
,,0,2024-07-01T10:00:00Z,21.71,KonsumsiListrik,AC,1
,,0,2024-07-01T10:00:00Z,23.56,KonsumsiListrik,AC,2
,,0,2024-07-01T10:00:00Z,24.98,KonsumsiListrik,AC,3
,,0,2024-07-01T10:00:00Z,26.29,KonsumsiListrik,AC,4
,,0,2024-07-01T10:00:00Z,20.74,KonsumsiListrik,AC,5
,,0,2024-08-01T10:00:00Z,27.13,KonsumsiListrik,AC,1
,,0,2024-08-01T10:00:00Z,22.05,KonsumsiListrik,AC,2
,,0,2024-08-01T10:00:00Z,24.26,KonsumsiListrik,AC,3
,,0,2024-08-01T10:00:00Z,25.45,KonsumsiListrik,AC,4
,,0,2024-08-01T10:00:00Z,22.86,KonsumsiListrik,AC,5
,,0,2024-09-01T10:00:00Z,18.96,KonsumsiListrik,AC,1
,,0,2024-09-01T10:00:00Z,20.31,KonsumsiListrik,AC,2
,,0,2024-09-01T10:00:00Z,21.66,KonsumsiListrik,AC,3
,,0,2024-09-01T10:00:00Z,23.19,KonsumsiListrik,AC,4
,,0,2024-09-01T10:00:00Z,24.85,KonsumsiListrik,AC,5
,,0,2024-10-01T10:00:00Z,22.38,KonsumsiListrik,AC,1
,,0,2024-10-01T10:00:00Z,26.34,KonsumsiListrik,AC,2
,,0,2024-10-01T10:00:00Z,23.73,KonsumsiListrik,AC,3
,,0,2024-10-01T10:00:00Z,19.18,KonsumsiListrik,AC,4
,,0,2024-10-01T10:00:00Z,18.72,KonsumsiListrik,AC,5
,,0,2024-11-01T10:00:00Z,21.91,KonsumsiListrik,AC,1
,,0,2024-11-01T10:00:00Z,25.58,KonsumsiListrik,AC,2
,,0,2024-11-01T10:00:00Z,22.84,KonsumsiListrik,AC,3
,,0,2024-11-01T10:00:00Z,23.47,KonsumsiListrik,AC,4
,,0,2024-11-01T10:00:00Z,25.88,KonsumsiListrik,AC,5
,,0,2024-12-01T10:00:00Z,19.49,KonsumsiListrik,AC,1
,,0,2024-12-01T10:00:00Z,20.74,KonsumsiListrik,AC,2
,,0,2024-12-01T10:00:00Z,23.06,KonsumsiListrik,AC,3
,,0,2024-12-01T10:00:00Z,24.18,KonsumsiListrik,AC,4
,,0,2024-12-01T10:00:00Z,21.62,KonsumsiListrik,AC,5
