#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2024-01-01T10:00:00Z,0.5,KonsumsiListrik,Fridge,1
,,0,2024-01-01T10:00:00Z,0.6,KonsumsiListrik,Fridge,2
,,0,2024-01-01T10:00:00Z,0.4,KonsumsiListrik,Fridge,3
,,0,2024-01-01T10:00:00Z,0.55,KonsumsiListrik,Fridge,4
,,0,2024-01-01T10:00:00Z,0.57,KonsumsiListrik,Fridge,5
,,0,2024-02-01T10:00:00Z,0.52,KonsumsiListrik,Fridge,1
,,0,2024-02-01T10:00:00Z,0.43,KonsumsiListrik,Fridge,2
,,0,2024-02-01T10:00:00Z,0.5,KonsumsiListrik,Fridge,3
,,0,2024-02-01T10:00:00Z,0.49,KonsumsiListrik,Fridge,4
,,0,2024-02-01T10:00:00Z,0.46,KonsumsiListrik,Fridge,5
,,0,2024-03-01T10:00:00Z,0.62,KonsumsiListrik,Fridge,1
,,0,2024-03-01T10:00:00Z,0.51,KonsumsiListrik,Fridge,2
,,0,2024-03-01T10:00:00Z,0.6,KonsumsiListrik,Fridge,3
,,0,2024-03-01T10:00:00Z,0.53,KonsumsiListrik,Fridge,4
,,0,2024-03-01T10:00:00Z,0.67,KonsumsiListrik,Fridge,5
,,0,2024-04-01T10:00:00Z,0.61,KonsumsiListrik,Fridge,1
,,0,2024-04-01T10:00:00Z,0.4,KonsumsiListrik,Fridge,2
,,0,2024-04-01T10:00:00Z,0.55,KonsumsiListrik,Fridge,3
,,0,2024-04-01T10:00:00Z,0.52,KonsumsiListrik,Fridge,4
,,0,2024-04-01T10:00:00Z,0.56,KonsumsiListrik,Fridge,5
,,0,2024-05-01T10:00:00Z,0.58,KonsumsiListrik,Fridge,1
,,0,2024-05-01T10:00:00Z,0.63,KonsumsiListrik,Fridge,2
,,0,2024-05-01T10:00:00Z,0.57,KonsumsiListrik,Fridge,3
,,0,2024-05-01T10:00:00Z,0.6,KonsumsiListrik,Fridge,4
,,0,2024-05-01T10:00:00Z,0.51,KonsumsiListrik,Fridge,5
,,0,2024-06-01T10:00:00Z,0.54,KonsumsiListrik,Fridge,1
,,0,2024-06-01T10:00:00Z,0.57,KonsumsiListrik,Fridge,2
,,0,2024-06-01T10:00:00Z,0.62,KonsumsiListrik,Fridge,3
,,0,2024-06-01T10:00:00Z,0.6,KonsumsiListrik,Fridge,4
,,0,2024-06-01T10:00:00Z,0.59,KonsumsiListrik,Fridge,5
,,0,2024-07-01T10:00:00Z,0.61,KonsumsiListrik,Fridge,1
,,0,2024-07-01T10:00:00Z,0.55,KonsumsiListrik,Fridge,2
,,0,2024-07-01T10:00:00Z,0.5,KonsumsiListrik,Fridge,3
,,0,2024-07-01T10:00:00Z,0.64,KonsumsiListrik,Fridge,4
,,0,2024-07-01T10:00:00Z,0.65,KonsumsiListrik,Fridge,5
,,0,2024-08-01T10:00:00Z,0.63,KonsumsiListrik,Fridge,1
,,0,2024-08-01T10:00:00Z,0.53,KonsumsiListrik,Fridge,2
,,0,2024-08-01T10:00:00Z,0.59,KonsumsiListrik,Fridge,3
,,0,2024-08-01T10:00:00Z,0.54,KonsumsiListrik,Fridge,4
,,0,2024-08-01T10:00:00Z,0.5,KonsumsiListrik,Fridge,5
,,0,2024-09-01T10:00:00Z,0.64,KonsumsiListrik,Fridge,1
,,0,2024-09-01T10:00:00Z,0.52,KonsumsiListrik,Fridge,2
,,0,2024-09-01T10:00:00Z,0.58,KonsumsiListrik,Fridge,3
,,0,2024-09-01T10:00:00Z,0.61,KonsumsiListrik,Fridge,4
,,0,2024-09-01T10:00:00Z,0.51,KonsumsiListrik,Fridge,5
,,0,2024-10-01T10:00:00Z,0.65,KonsumsiListrik,Fridge,1
,,0,2024-10-01T10:00:00Z,0.47,KonsumsiListrik,Fridge,2
,,0,2024-10-01T10:00:00Z,0.6,KonsumsiListrik,Fridge,3
,,0,2024-10-01T10:00:00Z,0.53,KonsumsiListrik,Fridge,4
,,0,2024-10-01T10:00:00Z,0.41,KonsumsiListrik,Fridge,5
,,0,2024-11-01T10:00:00Z,0.5,KonsumsiListrik,Fridge,1
,,0,2024-11-01T10:00:00Z,0.58,KonsumsiListrik,Fridge,2
,,0,2024-11-01T10:00:00Z,0.52,KonsumsiListrik,Fridge,3
,,0,2024-11-01T10:00:00Z,0.63,KonsumsiListrik,Fridge,4
,,0,2024-11-01T10:00:00Z,0.55,KonsumsiListrik,Fridge,5
,,0,2024-12-01T10:00:00Z,0.61,KonsumsiListrik,Fridge,1
,,0,2024-12-01T10:00:00Z,0.54,KonsumsiListrik,Fridge,2
,,0,2024-12-01T10:00:00Z,0.46,KonsumsiListrik,Fridge,3
,,0,2024-12-01T10:00:00Z,0.42,KonsumsiListrik,Fridge,4
,,0,2024-12-01T10:00:00Z,0.67,KonsumsiListrik,Fridge,5
